Total API calls: 209
Sidebar-counts calls: 3
================================================================================
    t_ms  method  url
      602  GET     http://localhost:5173/src/components/common/Modal.tsx
      602  GET     http://localhost:5173/src/components/common/ShortcutsHelp.tsx
      603  GET     http://localhost:5173/src/components/common/ContextMenu.tsx
      604  GET     http://localhost:5173/src/components/common/Drawer.tsx
      604  GET     http://localhost:5173/src/components/common/BottomSheet.tsx
      605  GET     http://localhost:5173/src/components/batch/BatchActionBar.tsx
      606  GET     http://localhost:5173/src/components/common/ConfirmDialog.tsx
      606  GET     http://localhost:5173/src/components/common/ErrorBoundary.tsx
      607  GET     http://localhost:5173/src/components/auth/LoginScreen.tsx
      607  GET     http://localhost:5173/src/components/browser/AssetRowMenu.tsx
      608  GET     http://localhost:5173/src/hooks/useStore.ts
      608  GET     http://localhost:5173/src/hooks/useDebounce.ts
      609  GET     http://localhost:5173/src/hooks/useToast.ts
      610  GET     http://localhost:5173/src/hooks/useViewport.ts
      610  GET     http://localhost:5173/src/hooks/useKeyboardShortcuts.ts
      611  GET     http://localhost:5173/src/state/mockData.ts
      611  GET     http://localhost:5173/src/state/selectors.ts
      612  GET     http://localhost:5173/src/utils/clipboard.ts
      612  GET     http://localhost:5173/src/utils/download.ts
      613  GET     http://localhost:5173/src/state/assetOps.ts
      613  GET     http://localhost:5173/src/api/auth.ts
      615  GET     http://localhost:5173/src/api/assets.ts
      616  GET     http://localhost:5173/src/api/client.ts
      617  GET     http://localhost:5173/src/api/share-links.ts
      617  GET     http://localhost:5173/src/App.module.css
      618  GET     http://localhost:5173/@fs/D:/DAM-Link-Backend/node_modules/.pnpm/vite@8.0.16_@types+node@24.13.0_tsx@4.19.1_yaml@2.9.0/node_modules/vite/dist/client/env.mjs
      619  GET     http://localhost:5173/src/api/orgs.ts
      619  GET     http://localhost:5173/src/state/assetAdapter.ts
      621  GET     http://localhost:5173/src/components/layout/AppShell.module.css
      622  GET     http://localhost:5173/node_modules/.vite/deps/@tabler_icons-react.js?v=55c08856
      623  GET     http://localhost:5173/src/components/toolbar/ExportButton.tsx
      624  GET     http://localhost:5173/src/components/toolbar/Toolbar.module.css
      626  GET     http://localhost:5173/src/components/sidebar/Sidebar.module.css
      627  GET     http://localhost:5173/src/components/browser/AssetCard.tsx
      628  GET     http://localhost:5173/src/components/common/EmptyState.tsx
      629  GET     http://localhost:5173/src/components/browser/AssetGrid.module.css
      630  GET     http://localhost:5173/src/components/browser/AssetListRow.tsx
      631  GET     http://localhost:5173/src/components/browser/StackedCardList.tsx
      631  GET     http://localhost:5173/src/components/browser/AssetList.module.css
      632  GET     http://localhost:5173/src/utils/fileType.ts
      633  GET     http://localhost:5173/src/utils/format.ts
      634  GET     http://localhost:5173/src/components/detail/TagEditor.tsx
      635  GET     http://localhost:5173/src/components/detail/DetailPanel.module.css
      636  GET     http://localhost:5173/src/components/upload/DropZone.tsx
      637  GET     http://localhost:5173/src/hooks/useUpload.ts
      638  GET     http://localhost:5173/src/components/upload/UploadDialog.module.css
      639  GET     http://localhost:5173/src/components/filter/FilterPanel.module.css
      640  GET     http://localhost:5173/src/components/common/Modal.module.css
      643  GET     http://localhost:5173/src/components/common/ContextMenu.module.css
      644  GET     http://localhost:5173/src/components/common/Drawer.module.css
      645  GET     http://localhost:5173/src/components/common/BottomSheet.module.css
      646  GET     http://localhost:5173/src/components/batch/BatchActionBar.module.css
      646  GET     http://localhost:5173/src/components/common/ConfirmDialog.module.css
      647  GET     http://localhost:5173/src/components/common/ErrorBoundary.module.css
      648  GET     http://localhost:5173/src/lib/gsap-setup.ts
      648  GET     http://localhost:5173/src/lib/animations/login-screen.ts
      649  GET     http://localhost:5173/src/components/auth/LoginScreen.module.css
      650  GET     http://localhost:5173/src/state/keymap.ts
      664  GET     http://localhost:5173/src/components/browser/AssetCard.module.css
      665  GET     http://localhost:5173/src/components/common/EmptyState.module.css
      667  GET     http://localhost:5173/src/components/browser/StackedCardList.module.css
      669  GET     http://localhost:5173/src/components/detail/TagEditor.module.css
      671  GET     http://localhost:5173/src/hooks/useDragDrop.ts
      673  GET     http://localhost:5173/src/components/upload/DropZone.module.css
      674  GET     http://localhost:5173/src/api/uploads.ts
      675  GET     http://localhost:5173/node_modules/.vite/deps/gsap.js?v=661a656e
      676  GET     http://localhost:5173/node_modules/.vite/deps/@gsap_react.js?v=5cb2cae3
      680  GET     http://localhost:5173/node_modules/.vite/deps/gsap-B2f31_N6.js?v=b517e693
      707  GET     http://localhost:5173/api/v1/auth/me
      708  GET     http://localhost:5173/api/v1/auth/me
      975  GET     http://localhost:5173/api/v1/orgs
      975  GET     http://localhost:5173/api/v1/orgs
      984  GET     http://localhost:5173/api/v1/orgs/d9a5a513-78be-4fe8-b0ad-e748aa2cb3ee/assets?limit=200&sort=uploadedAt%3Adesc&dateBucket=all
      985  GET     http://localhost:5173/api/v1/orgs/d9a5a513-78be-4fe8-b0ad-e748aa2cb3ee/assets?limit=200&sort=uploadedAt%3Adesc&dateBucket=all&inTrash=true
      986  GET     http://localhost:5173/api/v1/orgs/d9a5a513-78be-4fe8-b0ad-e748aa2cb3ee/assets?limit=200&sort=uploadedAt%3Adesc&dateBucket=all
      987  GET     http://localhost:5173/api/v1/orgs/d9a5a513-78be-4fe8-b0ad-e748aa2cb3ee/assets?limit=200&sort=uploadedAt%3Adesc&dateBucket=all&inTrash=true
 *   1270  GET     http://localhost:5173/api/v1/orgs/d9a5a513-78be-4fe8-b0ad-e748aa2cb3ee/assets/sidebar-counts
 *   1272  GET     http://localhost:5173/api/v1/orgs/d9a5a513-78be-4fe8-b0ad-e748aa2cb3ee/assets/sidebar-counts
     1554  GET     http://localhost:5173/api/v1/auth/me
     1555  GET     http://localhost:5173/api/v1/auth/me
     1572  GET     http://localhost:9000/dam-link-dev/thumbnails/d9a5a513-78be-4fe8-b0ad-e748aa2cb3ee/6426dd22-b32e-4cfe-9d54-4df1976c9189.webp?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=dam%2F20260607%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20260607T061601Z&X-Amz-Expires=3600&X-Amz-Signature=4ca6bf30c0e6f402511d0218668062aacc565d22159bc3302ed53df833069797&X-Amz-SignedHeaders=host&x-id=GetObject
 *   2060  GET     http://localhost:5173/api/v1/orgs/d9a5a513-78be-4fe8-b0ad-e748aa2cb3ee/assets/sidebar-counts
